set_id	syn_set	first_syn	query_long	query_short	query_short_translated	query_long_translated	class_id
n01756291	sidewinder, horned rattlesnake, Crotalus cerastes	sidewinder	a photo of a sidewinder	a sidewinder	un sidewinder	una foto di un sidewinder	69
n01768244	trilobite	trilobite	a photo of a trilobite	a trilobite	un trilobite	una foto di un trilobite	70
n01770081	harvestman, daddy longlegs, Phalangium opilio	harvestman	a photo of a harvestman	a harvestman	un raccoglitore	una foto di un raccoglitore	71
n01770393	scorpion	scorpion	a photo of a scorpion	a scorpion	uno scorpione	una foto di uno scorpione	72
n01773157	black and gold garden spider, Argiope aurantia	black and gold garden spider	a photo of a black and gold garden spider	a black and gold garden spider	un ragno da giardino nero e oro	una foto di un ragno da giardino nero e oro	73
n01773549	barn spider, Araneus cavaticus	barn spider	a photo of a barn spider	a barn spider	un ragno da fienile	una foto di un ragno da fienile	74
n01773797	garden spider, Aranea diademata	garden spider	a photo of a garden spider	a garden spider	un ragno del giardino	una foto di un ragno del giardino	75
n01774384	black widow, Latrodectus mactans	black widow	a photo of a black widow	a black widow	una vedova nera	una foto di una vedova nera	76
n01774750	tarantula	tarantula	a photo of a tarantula	a tarantula	una tarantola	una foto di una tarantola	77
n01775062	wolf spider, hunting spider	wolf spider	a photo of a wolf spider	a wolf spider	un ragno lupo	una foto di un ragno lupo	78
n01776313	tick	tick	a photo of a tick	a tick	un segno di spunta	una foto di un segno di spunta	79
n01784675	centipede	centipede	a photo of a centipede	a centipede	un millepiedi	una foto di un millepiedi	80
n01795545	black grouse	black grouse	a photo of a black grouse	a black grouse	un fagiano di monte	una foto di un fagiano di monte	81
n01796340	ptarmigan	ptarmigan	a photo of a ptarmigan	a ptarmigan	pernice bianca	una foto di pernice bianca	82
n01797886	ruffed grouse, partridge, Bonasa umbellus	ruffed grouse	a photo of a ruffed grouse	a ruffed grouse	un gallo cedrone	una foto di un gallo cedrone	83
n01798484	prairie chicken, prairie grouse, prairie fowl	prairie chicken	a photo of a prairie chicken	a prairie chicken	un pollo della prateria	una foto di un pollo della prateria	84
n01806143	peacock	peacock	a photo of a peacock	a peacock	un pavone	una foto di un pavone	85
n01806567	quail	quail	a photo of a quail	a quail	una quaglia	una foto di una quaglia	86
n01807496	partridge	partridge	a photo of a partridge	a partridge	una pernice	una foto di una pernice	87
n01817953	African grey, African gray, Psittacus erithacus	African grey	a photo of a African grey	a African grey	un grigio africano	una foto di un grigio africano	88
n01818515	macaw	macaw	a photo of a macaw	a macaw	un'ara	una foto di un'ara	89
n01819313	sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita	sulphur-crested cockatoo	a photo of a sulphur-crested cockatoo	a sulphur-crested cockatoo	un cacatua dalla cresta sulfurea	una foto di un cacatua dalla cresta sulfurea	90
n01820546	lorikeet	lorikeet	a photo of a lorikeet	a lorikeet	un lorichetto	una foto di un lorichetto	91
n01824575	coucal	coucal	a photo of a coucal	a coucal	una coucal	una foto di una coucal	92
n01828970	bee eater	bee eater	a photo of a bee eater	a bee eater	un mangiatore di api	una foto di un mangiatore di api	93
n01829413	hornbill	hornbill	a photo of a hornbill	a hornbill	un bucerotide	una foto di un bucerotide	94
n01833805	hummingbird	hummingbird	a photo of a hummingbird	a hummingbird	un colibrì	una foto di un colibrì	95
n01843065	jacamar	jacamar	a photo of a jacamar	a jacamar	un jacamar	una foto di un jacamar	96
n01843383	toucan	toucan	a photo of a toucan	a toucan	un tucano	una foto di un tucano	97
n01847000	drake	drake	a photo of a drake	a drake	un drake	una foto di un drake	98
n01855032	red-breasted merganser, Mergus serrator	red-breasted merganser	a photo of a red-breasted merganser	a red-breasted merganser	un merganser dal petto rosso	una foto di un merganser dal petto rosso	99
n01855672	goose	goose	a photo of a goose	a goose	un'oca	una foto di un'oca	100
n01860187	black swan, Cygnus atratus	black swan	a photo of a black swan	a black swan	un cigno nero	una foto di un cigno nero	101
n01871265	tusker	tusker	a photo of a tusker	a tusker	un tusker	una foto di un tusker	102
n01872401	echidna, spiny anteater, anteater	echidna	a photo of a echidna	a echidna	un echidna	una foto di un echidna	103
n01873310	platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus	platypus	a photo of a platypus	a platypus	un ornitorinco	una foto di un ornitorinco	104
n01877812	wallaby, brush kangaroo	wallaby	a photo of a wallaby	a wallaby	un wallaby	una foto di un wallaby	105
n01882714	koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus	koala	a photo of a koala	a koala	un koala	una foto di un koala	106
n01883070	wombat	wombat	a photo of a wombat	a wombat	un vombato	una foto di un vombato	107
n01910747	jellyfish	jellyfish	a photo of a jellyfish	a jellyfish	una medusa	una foto di una medusa	108
n01914609	sea anemone, anemone	sea anemone	a photo of a sea anemone	a sea anemone	un anemone di mare	una foto di un anemone di mare	109
n01917289	brain coral	brain coral	a photo of a brain coral	a brain coral	un corallo del cervello	una foto di un corallo del cervello	110
n01924916	flatworm, platyhelminth	flatworm	a photo of a flatworm	a flatworm	un verme piatto	una foto di un verme piatto	111
n01930112	nematode, nematode worm, roundworm	nematode	a photo of a nematode	a nematode	un nematode	una foto di un nematode	112
n01943899	conch	conch	a photo of a conch	a conch	uno strombo	una foto di uno strombo	113
n01944390	snail	snail	a photo of a snail	a snail	una lumaca	una foto di una lumaca	114
n01945685	slug	slug	a photo of a slug	a slug	una lumaca	una foto di una lumaca	115
n01950731	sea slug, nudibranch	sea slug	a photo of a sea slug	a sea slug	una lumaca di mare	una foto di una lumaca di mare	116
n01955084	chiton, coat-of-mail shell, sea cradle, polyplacophore	chiton	a photo of a chiton	a chiton	un chitone	una foto di un chitone	117
n01968897	chambered nautilus, pearly nautilus, nautilus	chambered nautilus	a photo of a chambered nautilus	a chambered nautilus	un nautilus a camera	una foto di un nautilus a camera	118
n01978287	Dungeness crab, Cancer magister	Dungeness crab	a photo of a Dungeness crab	a Dungeness crab	un granchio di Dungeness	una foto di un granchio di Dungeness	119
n01978455	rock crab, Cancer irroratus	rock crab	a photo of a rock crab	a rock crab	un granchio di roccia	una foto di un granchio di roccia	120
n01980166	fiddler crab	fiddler crab	a photo of a fiddler crab	a fiddler crab	un granchio violinista	una foto di un granchio violinista	121
n01981276	king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica	king crab	a photo of a king crab	a king crab	un granchio reale	una foto di un granchio reale	122
n01983481	American lobster, Northern lobster, Maine lobster, Homarus americanus	American lobster	a photo of a American lobster	a American lobster	un'aragosta americana	una foto di un'aragosta americana	123
n01984695	spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish	spiny lobster	a photo of a spiny lobster	a spiny lobster	un'aragosta spinosa	una foto di un'aragosta spinosa	124
n01985128	crayfish, crawfish, crawdad, crawdaddy	crayfish	a photo of a crayfish	a crayfish	un gambero di fiume	una foto di un gambero di fiume	125
n01986214	hermit crab	hermit crab	a photo of a hermit crab	a hermit crab	un paguro	una foto di un paguro	126
n01990800	isopod	isopod	a photo of a isopod	a isopod	un isopode	una foto di un isopode	127
n02002556	white stork, Ciconia ciconia	white stork	a photo of a white stork	a white stork	una cicogna bianca	una foto di una cicogna bianca	128
n02002724	black stork, Ciconia nigra	black stork	a photo of a black stork	a black stork	una cicogna nera	una foto di una cicogna nera	129
n02006656	spoonbill	spoonbill	a photo of a spoonbill	a spoonbill	una spatola	una foto di una spatola	130
n02007558	flamingo	flamingo	a photo of a flamingo	a flamingo	un fenicottero	una foto di un fenicottero	131
n02009229	little blue heron, Egretta caerulea	little blue heron	a photo of a little blue heron	a little blue heron	un piccolo airone blu	una foto di un piccolo airone blu	132
n02009912	American egret, great white heron, Egretta albus	American egret	a photo of a American egret	a American egret	una garzetta americana	una foto di una garzetta americana	133
n02011460	bittern	bittern	a photo of a bittern	a bittern	un tarabuso	una foto di un tarabuso	134
n02012849	crane	crane	a photo of a crane	a crane	una gru	una foto di una gru	135
n02013706	limpkin, Aramus pictus	limpkin	a photo of a limpkin	a limpkin	un moscerino	una foto di un moscerino	136
n02017213	European gallinule, Porphyrio porphyrio	European gallinule	a photo of a European gallinule	a European gallinule	un gallinaccio europeo	una foto di un gallinaccio europeo	137
n02018207	American coot, marsh hen, mud hen, water hen, Fulica americana	American coot	a photo of a American coot	a American coot	una folaga americana	una foto di una folaga americana	138
n02018795	bustard	bustard	a photo of a bustard	a bustard	un'otarda	una foto di un'otarda	139
n02025239	ruddy turnstone, Arenaria interpres	ruddy turnstone	a photo of a ruddy turnstone	a ruddy turnstone	una pietra focaia rubiconda	una foto di una pietra focaia rubiconda	140
n02027492	red-backed sandpiper, dunlin, Erolia alpina	red-backed sandpiper	a photo of a red-backed sandpiper	a red-backed sandpiper	un piovanello dal dorso rosso	una foto di un piovanello dal dorso rosso	141
n02028035	redshank, Tringa totanus	redshank	a photo of a redshank	a redshank	una pettegola	una foto di una pettegola	142
n02033041	dowitcher	dowitcher	a photo of a dowitcher	a dowitcher	una dowitcher	una foto di una dowitcher	143
n02037110	oystercatcher, oyster catcher	oystercatcher	a photo of a oystercatcher	a oystercatcher	una beccaccia di mare	una foto di una beccaccia di mare	144
n02051845	pelican	pelican	a photo of a pelican	a pelican	un pellicano	una foto di un pellicano	145
n02056570	king penguin, Aptenodytes patagonica	king penguin	a photo of a king penguin	a king penguin	un pinguino reale	una foto di un pinguino reale	146
n02058221	albatross, mollymawk	albatross	a photo of a albatross	a albatross	un albatros	una foto di un albatros	147
n02066245	grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus	grey whale	a photo of a grey whale	a grey whale	una balena grigia	una foto di una balena grigia	148
n02071294	killer whale, killer, orca, grampus, sea wolf, Orcinus orca	killer whale	a photo of a killer whale	a killer whale	un'orca assassina	una foto di un'orca assassina	149
n02074367	dugong, Dugong dugon	dugong	a photo of a dugong	a dugong	un dugongo	una foto di un dugongo	150
n02077923	sea lion	sea lion	a photo of a sea lion	a sea lion	un leone marino	una foto di un leone marino	151
n02085620	Chihuahua	Chihuahua	a photo of a Chihuahua	a Chihuahua	un chihuahua	una foto di un chihuahua	152
n02085782	Japanese spaniel	Japanese spaniel	a photo of a Japanese spaniel	a Japanese spaniel	uno spaniel giapponese	una foto di uno spaniel giapponese	153
n02085936	Maltese dog, Maltese terrier, Maltese	Maltese dog	a photo of a Maltese dog	a Maltese dog	un cane maltese	una foto di un cane maltese	154
n02086079	Pekinese, Pekingese, Peke	Pekinese	a photo of a Pekinese	a Pekinese	un pechinese	una foto di un pechinese	155
n02086240	Shih-Tzu	Shih-Tzu	a photo of a Shih-Tzu	a Shih-Tzu	uno Shih-Tzu	una foto di uno Shih-Tzu	156
n02086646	Blenheim spaniel	Blenheim spaniel	a photo of a Blenheim spaniel	a Blenheim spaniel	uno spaniel Blenheim	una foto di uno spaniel Blenheim	157
n02086910	papillon	papillon	a photo of a papillon	a papillon	un papillon	una foto di un papillon	158
n02087046	toy terrier	toy terrier	a photo of a toy terrier	a toy terrier	un terrier giocattolo	una foto di un terrier giocattolo	159
n02087394	Rhodesian ridgeback	Rhodesian ridgeback	a photo of a Rhodesian ridgeback	a Rhodesian ridgeback	un Rhodesian ridgeback	una foto di un Rhodesian ridgeback	160
n02088094	Afghan hound, Afghan	Afghan hound	a photo of a Afghan hound	a Afghan hound	un segugio afgano	una foto di un segugio afgano	161
n02088238	basset, basset hound	basset	a photo of a basset	a basset	un bassotto	una foto di un bassotto	162
n02088364	beagle	beagle	a photo of a beagle	a beagle	un beagle	una foto di un beagle	163
n02088466	bloodhound, sleuthhound	bloodhound	a photo of a bloodhound	a bloodhound	un segugio	una foto di un segugio	164
n02088632	bluetick	bluetick	a photo of a bluetick	a bluetick	un bluetick	una foto di un bluetick	165
n02089078	black-and-tan coonhound	black-and-tan coonhound	a photo of a black-and-tan coonhound	a black-and-tan coonhound	un coonhound nero e marrone	una foto di un coonhound nero e marrone	166
n02089867	Walker hound, Walker foxhound	Walker hound	a photo of a Walker hound	a Walker hound	un segugio Walker	una foto di un segugio Walker	167
n02089973	English foxhound	English foxhound	a photo of a English foxhound	a English foxhound	un foxhound inglese	una foto di un foxhound inglese	168
n02090379	redbone	redbone	a photo of a redbone	a redbone	un osso rosso	una foto di un osso rosso	169
n02090622	borzoi, Russian wolfhound	borzoi	a photo of a borzoi	a borzoi	un borzoi	una foto di un borzoi	170
n02090721	Irish wolfhound	Irish wolfhound	a photo of a Irish wolfhound	a Irish wolfhound	un cane lupo irlandese	una foto di un cane lupo irlandese	171
n02091032	Italian greyhound	Italian greyhound	a photo of a Italian greyhound	a Italian greyhound	un levriero italiano	una foto di un levriero italiano	172
n02091134	whippet	whippet	a photo of a whippet	a whippet	un whippet	una foto di un whippet	173
n02091244	Ibizan hound, Ibizan Podenco	Ibizan hound	a photo of a Ibizan hound	a Ibizan hound	un segugio ibizenco	una foto di un segugio ibizenco	174
n02091467	Norwegian elkhound, elkhound	Norwegian elkhound	a photo of a Norwegian elkhound	a Norwegian elkhound	un elkhound norvegese	una foto di un elkhound norvegese	175
n02091635	otterhound, otter hound	otterhound	a photo of a otterhound	a otterhound	una lontra	una foto di una lontra	176
n02091831	Saluki, gazelle hound	Saluki	a photo of a Saluki	a Saluki	un Saluki	una foto di un Saluki	177
n02092002	Scottish deerhound, deerhound	Scottish deerhound	a photo of a Scottish deerhound	a Scottish deerhound	un deerhound scozzese	una foto di un deerhound scozzese	178
n02092339	Weimaraner	Weimaraner	a photo of a Weimaraner	a Weimaraner	un Weimaraner	una foto di un Weimaraner	179
n02093256	Staffordshire bullterrier, Staffordshire bull terrier	Staffordshire bullterrier	a photo of a Staffordshire bullterrier	a Staffordshire bullterrier	uno Staffordshire bullterrier	una foto di uno Staffordshire bullterrier	180
n02093428	American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier	American Staffordshire terrier	a photo of a American Staffordshire terrier	a American Staffordshire terrier	un American Staffordshire terrier	una foto di un American Staffordshire terrier	181
n02093647	Bedlington terrier	Bedlington terrier	a photo of a Bedlington terrier	a Bedlington terrier	un Bedlington terrier	una foto di un Bedlington terrier	182
n02093754	Border terrier	Border terrier	a photo of a Border terrier	a Border terrier	un Border terrier	una foto di un Border terrier	183
n02093859	Kerry blue terrier	Kerry blue terrier	a photo of a Kerry blue terrier	a Kerry blue terrier	un Kerry blue terrier	una foto di un Kerry blue terrier	184
n02093991	Irish terrier	Irish terrier	a photo of a Irish terrier	a Irish terrier	un terrier irlandese	una foto di un terrier irlandese	185
n02094114	Norfolk terrier	Norfolk terrier	a photo of a Norfolk terrier	a Norfolk terrier	un Norfolk terrier	una foto di un Norfolk terrier	186
n02094258	Norwich terrier	Norwich terrier	a photo of a Norwich terrier	a Norwich terrier	un Norwich terrier	una foto di un Norwich terrier	187
n02094433	Yorkshire terrier	Yorkshire terrier	a photo of a Yorkshire terrier	a Yorkshire terrier	uno Yorkshire terrier	una foto di uno Yorkshire terrier	188
n02095314	wire-haired fox terrier	wire-haired fox terrier	a photo of a wire-haired fox terrier	a wire-haired fox terrier	un fox terrier a pelo corto	una foto di un fox terrier a pelo corto	189
n02095570	Lakeland terrier	Lakeland terrier	a photo of a Lakeland terrier	a Lakeland terrier	un Lakeland terrier	una foto di un Lakeland terrier	190
n02095889	Sealyham terrier, Sealyham	Sealyham terrier	a photo of a Sealyham terrier	a Sealyham terrier	un Sealyham terrier	una foto di un Sealyham terrier	191
n02096051	Airedale, Airedale terrier	Airedale	a photo of a Airedale	a Airedale	un Airedale	una foto di un Airedale	192
n02096177	cairn, cairn terrier	cairn	a photo of a cairn	a cairn	un tumulo	una foto di un tumulo	193
n02096294	Australian terrier	Australian terrier	a photo of a Australian terrier	a Australian terrier	un terrier australiano	una foto di un terrier australiano	194
n02096437	Dandie Dinmont, Dandie Dinmont terrier	Dandie Dinmont	a photo of a Dandie Dinmont	a Dandie Dinmont	un Dandie Dinmont	una foto di un Dandie Dinmont	195
n02096585	Boston bull, Boston terrier	Boston bull	a photo of a Boston bull	a Boston bull	un toro di Boston	una foto di un toro di Boston	196
n02097047	miniature schnauzer	miniature schnauzer	a photo of a miniature schnauzer	a miniature schnauzer	uno schnauzer in miniatura	una foto di uno schnauzer in miniatura	197
n02097130	giant schnauzer	giant schnauzer	a photo of a giant schnauzer	a giant schnauzer	uno schnauzer gigante	una foto di uno schnauzer gigante	198
n02097209	standard schnauzer	standard schnauzer	a photo of a standard schnauzer	a standard schnauzer	uno schnauzer standard	una foto di uno schnauzer standard	199
n02097298	Scotch terrier, Scottish terrier, Scottie	Scotch terrier	a photo of a Scotch terrier	a Scotch terrier	un terrier scozzese	una foto di un terrier scozzese	200
n02097474	Tibetan terrier, chrysanthemum dog	Tibetan terrier	a photo of a Tibetan terrier	a Tibetan terrier	un terrier tibetano	una foto di un terrier tibetano	201
n02097658	silky terrier, Sydney silky	silky terrier	a photo of a silky terrier	a silky terrier	un terrier di seta	una foto di un terrier di seta	202
n02098105	soft-coated wheaten terrier	soft-coated wheaten terrier	a photo of a soft-coated wheaten terrier	a soft-coated wheaten terrier	un wheaten terrier a pelo morbido	una foto di un wheaten terrier a pelo morbido	203
n02098286	West Highland white terrier	West Highland white terrier	a photo of a West Highland white terrier	a West Highland white terrier	un West Highland white terrier	una foto di un West Highland white terrier	204
n02098413	Lhasa, Lhasa apso	Lhasa	a photo of a Lhasa	a Lhasa	a Lhasa	una foto di a Lhasa	205
n02099267	flat-coated retriever	flat-coated retriever	a photo of a flat-coated retriever	a flat-coated retriever	un flat-coated retriever	una foto di un flat-coated retriever	206
n02099429	curly-coated retriever	curly-coated retriever	a photo of a curly-coated retriever	a curly-coated retriever	un retriever a pelo riccio	una foto di un retriever a pelo riccio	207
n02099601	golden retriever	golden retriever	a photo of a golden retriever	a golden retriever	un golden retriever	una foto di un golden retriever	208
n02099712	Labrador retriever	Labrador retriever	a photo of a Labrador retriever	a Labrador retriever	un Labrador retriever	una foto di un Labrador retriever	209
n02099849	Chesapeake Bay retriever	Chesapeake Bay retriever	a photo of a Chesapeake Bay retriever	a Chesapeake Bay retriever	un Chesapeake Bay retriever	una foto di un Chesapeake Bay retriever	210
n02100236	German short-haired pointer	German short-haired pointer	a photo of a German short-haired pointer	a German short-haired pointer	un pointer tedesco a pelo corto	una foto di un pointer tedesco a pelo corto	211
n02100583	vizsla, Hungarian pointer	vizsla	a photo of a vizsla	a vizsla	un vizsla	una foto di un vizsla	212
n02100735	English setter	English setter	a photo of a English setter	a English setter	un setter inglese	una foto di un setter inglese	213
n02100877	Irish setter, red setter	Irish setter	a photo of a Irish setter	a Irish setter	un setter irlandese	una foto di un setter irlandese	214
n02101006	Gordon setter	Gordon setter	a photo of a Gordon setter	a Gordon setter	un setter Gordon	una foto di un setter Gordon	215
n02101388	Brittany spaniel	Brittany spaniel	a photo of a Brittany spaniel	a Brittany spaniel	un Brittany spaniel	una foto di un Brittany spaniel	216
n02101556	clumber, clumber spaniel	clumber	a photo of a clumber	a clumber	un idraulico	una foto di un idraulico	217
n02102040	English springer, English springer spaniel	English springer	a photo of a English springer	a English springer	uno springer inglese	una foto di uno springer inglese	218
n02102177	Welsh springer spaniel	Welsh springer spaniel	a photo of a Welsh springer spaniel	a Welsh springer spaniel	uno springer spaniel gallese	una foto di uno springer spaniel gallese	219
